sample_barcode	journal	lib_id	library_plate	sample_seq_id	seq_id	R1	R2
DoBa00000049MP	MP024	LIB-MP024-E7	LIB00011	LIB00011-MP024-E7_1	LIB00011-MP024-MJ363_E7	data/micropouch/230216_A00595_0227_BH777CDSX5_micropouch/230216_A00595_0227_BH777CDSX5_micropouch/micropouch/Seq-MJ363-Pool-1/LIB00011-MP024-MJ363_E7/sample_S134_L001_R1_001.fastq.gz	data/micropouch/230216_A00595_0227_BH777CDSX5_micropouch/230216_A00595_0227_BH777CDSX5_micropouch/micropouch/Seq-MJ363-Pool-1/LIB00011-MP024-MJ363_E7/sample_S134_L001_R2_001.fastq.gz
DoBa00000047MP	MP007	LIB-MP007-A5	LIB00001	LIB00001-MP007-A5_1	LIB00001-MP001-A5	data/micropouch/AAU_metagenome/AAU_metagenome/fastq/Seq-MP015-Pool-1/LIB00001-MP001-A5/sample_S214_L002_R1_001.fastq.gz	data/micropouch/AAU_metagenome/AAU_metagenome/fastq/Seq-MP015-Pool-1/LIB00001-MP001-A5/sample_S214_L002_R2_001.fastq.gz
PaPr00000001MP	MP013	LIB-MP013-A3	LIB00007	LIB00007-MP013-A3_1	LIB00007-MP014-A3	data/micropouch/AAU_metagenome/AAU_metagenome/fastq/Seq-MP015-Pool-1/LIB00007-MP014-A3/sample_S306_L002_R1_001.fastq.gz	data/micropouch/AAU_metagenome/AAU_metagenome/fastq/Seq-MP015-Pool-1/LIB00007-MP014-A3/sample_S306_L002_R2_001.fastq.gz
PaPr00000056MP	MP007	LIB-MP007-B2	LIB00001	LIB00001-MP007-B2_1	LIB00001-MP001-B2	data/micropouch/AAU_metagenome/AAU_metagenome/fastq/Seq-MP015-Pool-1/LIB00001-MP001-B2/sample_S193_L002_R1_001.fastq.gz	data/micropouch/AAU_metagenome/AAU_metagenome/fastq/Seq-MP015-Pool-1/LIB00001-MP001-B2/sample_S193_L002_R2_001.fastq.gz
DoBa00000054MP	MP007	LIB-MP007-B4	LIB00001	LIB00001-MP007-B4_1	LIB00001-MP001-B4	data/micropouch/AAU_metagenome/AAU_metagenome/fastq/Seq-MP015-Pool-1/LIB00001-MP001-B4/sample_S207_L002_R1_001.fastq.gz	data/micropouch/AAU_metagenome/AAU_metagenome/fastq/Seq-MP015-Pool-1/LIB00001-MP001-B4/sample_S207_L002_R2_001.fastq.gz
DoBa00000032MP	MP007	LIB-MP007-C1	LIB00001	LIB00001-MP007-C1_1	LIB00001-MP001-C1	data/micropouch/AAU_metagenome/AAU_metagenome/fastq/Seq-MP015-Pool-1/LIB00001-MP001-C1/sample_S189_L002_R1_001.fastq.gz	data/micropouch/AAU_metagenome/AAU_metagenome/fastq/Seq-MP015-Pool-1/LIB00001-MP001-C1/sample_S189_L002_R2_001.fastq.gz
LIB-MP007-C10	MP007	LIB-MP007-C10	LIB00001	LIB00001-MP007-C10_1	LIB00001-MP001-C10	data/micropouch/AAU_metagenome/AAU_metagenome/fastq/Seq-MP015-Pool-1/LIB00001-MP001-C10/sample_S253_L002_R1_001.fastq.gz	data/micropouch/AAU_metagenome/AAU_metagenome/fastq/Seq-MP015-Pool-1/LIB00001-MP001-C10/sample_S253_L002_R2_001.fastq.gz
LIB-MP007-C3	MP007	LIB-MP007-C3	LIB00001	LIB00001-MP007-C3_1	LIB00001-MP001-C3	data/micropouch/AAU_metagenome/AAU_metagenome/fastq/Seq-MP015-Pool-1/LIB00001-MP001-C3/sample_S200_L002_R1_001.fastq.gz	data/micropouch/AAU_metagenome/AAU_metagenome/fastq/Seq-MP015-Pool-1/LIB00001-MP001-C3/sample_S200_L002_R2_001.fastq.gz
PaPr00000064MP	MP007	LIB-MP007-C4	LIB00001	LIB00001-MP007-C4_1	LIB00001-MP001-C4	data/micropouch/AAU_metagenome/AAU_metagenome/fastq/Seq-MP015-Pool-1/LIB00001-MP001-C4/sample_S208_L002_R1_001.fastq.gz	data/micropouch/AAU_metagenome/AAU_metagenome/fastq/Seq-MP015-Pool-1/LIB00001-MP001-C4/sample_S208_L002_R2_001.fastq.gz
PaPr00000022MP	MP007	LIB-MP007-C9	LIB00001	LIB00001-MP007-C9_1	LIB00001-MP001-C9	data/micropouch/AAU_metagenome/AAU_metagenome/fastq/Seq-MP015-Pool-1/LIB00001-MP001-C9/sample_S246_L002_R1_001.fastq.gz	data/micropouch/AAU_metagenome/AAU_metagenome/fastq/Seq-MP015-Pool-1/LIB00001-MP001-C9/sample_S246_L002_R2_001.fastq.gz
